title,GENRE,genre/SUB,LANGUAGE,language/SUB,imdb_score,premiere,runtime,year
The Fundamentals of Caring,Comedy,Comedy-drama,English,English_SPECIFIC,7.3,6/24/2016,97,2016
We Can Be Heroes,Superhero,Superhero_SPECIFIC,English,English_SPECIFIC,4.7,12/25/2020,100,2020
Bird Box,Psychological,Psychological thriller,English,English_SPECIFIC,6.6,12/21/2018,124,2018
Love per Square Foot,Romance,Romantic comedy,Hindi,Hindi,7.2,2/14/2018,133,2018
Nappily Ever After,Comedy,Comedy-drama,English,English_SPECIFIC,6.4,9/21/2018,98,2018
All in My Family,Documentary,Documentary_SPECIFIC,English,English/Mandarin,6.8,05-03-2019,39,2019
Murder Mystery,Comedy,Comedy mystery,English,English_SPECIFIC,6,6/14/2019,97,2019
Class of '83,Drama,Drama_SPECIFIC,Hindi,Hindi,5.8,8/21/2020,98,2020
The Legacy of a Whitetail Deer Hunter,Adventure,Adventure/Comedy,English,English_SPECIFIC,5.5,07-06-2018,83,2018
XOXO,Drama,Drama_SPECIFIC,English,English_SPECIFIC,5.3,8/26/2016,92,2016
Whipped,Romance,Romantic comedy,Indonesian,Indonesian,4.1,9/18/2020,97,2020
Velvet Buzzsaw,Thriller,Thriller_SPECIFIC,English,English_SPECIFIC,5.7,02-01-2019,112,2019
The Death and Life of Marsha P. Johnson,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.3,10-06-2017,105,2017
Hillbilly Elegy,Drama,Drama_SPECIFIC,English,English_SPECIFIC,6.7,11/24/2020,117,2020
Little Miss Sumo,Documentary,Documentary_SPECIFIC,Japanese,Japanese,6.7,10/28/2019,19,2019
Isi & Ossi,Romance,Romantic comedy,German,German,6.4,2/14/2020,113,2020
Love Wedding Repeat,Romance,Romantic comedy,English,English_SPECIFIC,5.5,04-10-2020,100,2020
Heroin(e) ,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.8,09-12-2017,39,2017
Long Live Brij Mohan,Comedy,Comedy_SPECIFIC,Hindi,Hindi,6.8,08-03-2018,105,2018
Eurovision Song Contest: The Story of Fire Saga,Musical,Musical comedy,English,English_SPECIFIC,6.5,6/26/2020,123,2020
Who Would You Take to a Deserted Island?,Drama,Drama_SPECIFIC,Spanish,Spanish,5.3,04-12-2019,93,2019
Wine Country,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.5,05-10-2019,103,2019
Let It Snow,Romance,Romantic comedy,English,English_SPECIFIC,5.8,11-08-2019,92,2019
To the Bone,Drama,Drama_SPECIFIC,English,English_SPECIFIC,6.8,7/14/2017,107,2017
Gerald's Game,Horror,Horror thriller,English,English_SPECIFIC,6.5,9/29/2017,103,2017
It Takes a Lunatic,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.6,10/25/2019,126,2019
Laerte-se,Documentary,Documentary_SPECIFIC,Portuguese,Portuguese,6.9,5/19/2017,100,2017
Guillermo Vilas: Settling the Score,Documentary,Documentary_SPECIFIC,Spanish,Spanish,7.1,10/27/2020,94,2020
Secrets of the Saqqara Tomb,Documentary,Documentary_SPECIFIC,English,English/Arabic,7.3,10/28/2020,114,2020
Things Heard & Seen,Horror,Horror_SPECIFIC,English,English_SPECIFIC,5.3,4/29/2021,121,2021
ARQ,SCIENCE,Science fiction/Thriller,English,English_SPECIFIC,6.4,9/16/2016,88,2016
Emicida: AmarElo - It's All For Yesterday,Documentary,Documentary_SPECIFIC,Portuguese,Portuguese,8.6,12-08-2020,89,2020
Athlete A,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.6,6/24/2020,104,2020
Marriage Story,Drama,Drama_SPECIFIC,English,English_SPECIFIC,7.9,12-06-2019,136,2019
Dolly Parton's Christmas on the Square,Christmas,Christmas musical,English,English_SPECIFIC,5.2,11/22/2020,98,2020
The Package,comedy,Black comedy,English,English_SPECIFIC,5.5,08-10-2018,94,2018
Unknown Origins,Thriller,Thriller_SPECIFIC,Spanish,Spanish,6.1,8/28/2020,96,2020
Roma,Drama,Drama_SPECIFIC,Spanish,Spanish,7.7,12/14/2018,135,2018
"Love, Guaranteed",Romance,Romantic comedy,English,English_SPECIFIC,5.6,09-03-2020,91,2020
Rich in Love,Romance,Romantic comedy,Portuguese,Portuguese,5.8,4/30/2020,105,2020
Bigflo & Oil: Hip Hop Frenzy,Documentary,Documentary_SPECIFIC,French_SPECIFIC,French,6.9,10-08-2020,100,2020
Private Life,Drama,Drama_SPECIFIC,English,English_SPECIFIC,7.2,10-05-2018,124,2018
